"Time","LineName","MachineName","LaneNo","ProgramName","PanelID","PanelStatus"
"2022/06/18 14:25:21","E1-2F-S10","E1-2F-S10-NXT","1","H27-E75-T01-S10-C6RH_T01","AH27E75231443V35","0"


"SequenceNo","ModuleNo","StageNo","SlotNo","PartNo","ReelID","FeederID","Vendor","LotNo","DateCode","LightingClass","PickupStatus","BlockNo","Reference","Part2DCode","NozzleID","HolderNo","PickupX","PickupY","NotchOrientation","MapRotation"
"25","6","1","23","514-00134-A5","514-00134-A520220518000164","KT32L 032862","0001002993","FTG2214A","20220518","","0","2","J0201","","K56 010464","1","-1","-1","0","0"
"141","6","1","20","516S00115-A1","516S00115-A120220517047251","KT16F 064960","0001000094","20302Q791","20220226","","0","10","J0200","","0IS 000000","3","-1","-1","0","0"
"78","6","1","20","516S00115-A1","516S00115-A120220517047251","KT16F 064960","0001000094","20302Q791","20220226","","0","8","J0200","","0IS 000000","5","-1","-1","0","0"
"69","6","1","20","516S00115-A1","516S00115-A120220517047251","KT16F 064960","0001000094","20302Q791","20220226","","0","7","J0200","","0IS 000000","7","-1","-1","0","0"
"34","6","1","23","514-00134-A5","514-00134-A520220518000164","KT32L 032862","0001002993","FTG2214A","20220518","","0","3","J0201","","K56 010464","1","-1","-1","0","0"
"150","6","1","20","516S00115-A1","516S00115-A120220517047251","KT16F 064960","0001000094","20302Q791","20220226","","0","11","J0200","","0IS 000000","3","-1","-1","0","0"
"159","6","1","20","516S00115-A1","516S00115-A120220517047251","KT16F 064960","0001000094","20302Q791","20220226","","0","12","J0200","","0IS 000000","5","-1","-1","0","0"
"87","6","1","20","516S00115-A1","516S00115-A120220517047251","KT16F 064960","0001000094","20302Q791","20220226","","0","9","J0200","","0IS 000000","7","-1","-1","0","0"
"43","7","1","23","514-00134-A5","514-00134-A520220518000108","KT32L 038731","0001002993","FTG2214A","20220518","","0","4","J0201","","K56 010516","1","-1","-1","0","0"
"124","7","1","23","514-00134-A5","514-00134-A520220518000108","KT32L 038731","0001002993","FTG2214A","20220518","","0","5","J0201","","K56 010539","3","-1","-1","0","0"
"133","7","1","23","514-00134-A5","514-00134-A520220518000108","KT32L 038731","0001002993","FTG2214A","20220518","","0","6","J0201","","K56 011019","5","-1","-1","0","0"
"142","7","1","23","514-00134-A5","514-00134-A520220518000108","KT32L 038731","0001002993","FTG2214A","20220518","","0","10","J0201","","K56 010516","1","-1","-1","0","0"
"151","7","1","23","514-00134-A5","514-00134-A520220518000108","KT32L 038731","0001002993","FTG2214A","20220518","","0","11","J0201","","K56 010539","3","-1","-1","0","0"
"160","7","1","23","514-00134-A5","514-00134-A520220518000108","KT32L 038731","0001002993","FTG2214A","20220518","","0","12","J0201","","K56 011019","5","-1","-1","0","0"
"88","7","1","23","514-00134-A5","514-00134-A520220518000108","KT32L 038731","0001002993","FTG2214A","20220518","","0","9","J0201","","K56 010516","1","-1","-1","0","0"
"79","7","1","23","514-00134-A5","514-00134-A520220518000108","KT32L 038731","0001002993","FTG2214A","20220518","","0","8","J0201","","K56 010539","3","-1","-1","0","0"
"70","7","1","23","514-00134-A5","514-00134-A520220518000108","KT32L 038731","0001002993","FTG2214A","20220518","","0","7","J0201","","K56 011019","5","-1","-1","0","0"
"BlockNo","BoardID"
14,AH27E75231443V35
15,AH27E75231443V35
